City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,9.06,57,20,16.98,CL,1730056022
1,kapuskasing,49.4169,-82.4331,2.1,43,10,3.04,CA,1730056023
2,invercargill,-46.4,168.35,7.79,97,100,1.34,NZ,1730056024
3,college,64.8569,-147.8028,-12.03,75,100,0.0,US,1730056025
4,grytviken,-54.2811,-36.5092,-0.71,70,84,2.43,GS,1730056027
5,saipan,15.1355,145.701,28.39,89,40,3.6,MP,1730056028
6,ilulissat,69.2167,-51.1,-10.99,48,0,2.57,GL,1730056029
7,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,64,75,2.0,RU,1730056030
8,laguna,38.421,-121.4238,23.04,67,0,3.09,US,1730056031
9,port-aux-francais,-49.35,70.2167,1.32,60,100,12.01,TF,1730056033
10,edinburgh of the seven seas,-37.0676,-12.3116,15.7,94,100,12.22,SH,1730056034
11,sassandra,4.95,-6.0833,24.25,98,51,1.8,CI,1730056035
12,yellowknife,62.456,-114.3525,-0.88,100,100,4.63,CA,1730056037
13,touros,-5.1989,-35.4608,27.65,67,59,6.33,BR,1730055898
14,olonkinbyen,70.9221,-8.7187,-5.49,83,100,18.92,SJ,1730056039
15,viana do castelo,41.6932,-8.8329,15.11,75,1,5.41,PT,1730056040
16,afaahiti,-17.75,-149.2833,23.2,74,100,6.98,PF,1730056041
17,coxen hole,16.3244,-86.5366,28.6,89,75,2.57,HN,1730055917
18,kos,36.8933,27.2889,19.69,64,99,3.6,GR,1730056044
19,prescott,34.54,-112.4685,26.52,16,0,4.47,US,1730056045
20,gebeit,21.0667,36.3167,24.59,63,0,3.3,SD,1730056046
21,ribeira grande,38.5167,-28.7,20.22,68,20,4.47,PT,1730056047
22,helsby,53.274,-2.7691,9.63,92,75,5.14,GB,1730056049
23,sodankyla,67.4167,26.6,6.04,95,100,6.29,FI,1730056050
24,n'zeto,-7.2312,12.8666,25.02,89,100,5.52,AO,1730056051
25,iqaluit,63.7506,-68.5145,-6.28,73,27,5.81,CA,1730056052
26,waitangi,-43.9535,-176.5597,13.79,98,100,4.92,NZ,1730056053
27,puerto natales,-51.7236,-72.4875,7.25,81,100,8.75,CL,1730056054
28,rongelap,11.1635,166.8941,28.52,77,83,4.55,MH,1730056056
29,valledupar,10.4631,-73.2532,36.14,40,64,3.34,CO,1730056048
30,bredasdorp,-34.5322,20.0403,15.5,87,100,10.12,ZA,1730056058
31,tazovsky,67.4667,78.7,-5.07,96,100,4.33,RU,1730056059
32,lebu,-37.6167,-73.65,12.9,72,1,8.53,CL,1730056060
33,ocean shores,46.9737,-124.1563,12.75,93,100,9.26,US,1730056062
34,isafjordur,66.0755,-23.124,-5.1,77,13,3.95,IS,1730056064
35,adamstown,-25.066,-130.1015,22.03,83,68,6.37,PN,1730056065
36,mogocha,53.7333,119.7667,-8.45,96,8,1.09,RU,1730056066
37,bethel,41.3712,-73.414,13.9,31,0,4.12,US,1730056067
38,grand gaube,-20.0064,57.6608,24.1,90,100,2.85,MU,1730056069
39,montmagny,48.9734,2.3469,15.57,93,20,2.57,FR,1730056070
40,roma,43.2128,-75.4557,11.08,53,100,5.14,US,1730056071
41,port mathurin,-19.6833,63.4167,23.81,81,4,5.7,MU,1730056072
42,talnakh,69.4865,88.3972,-14.39,95,100,4.95,RU,1730056073
43,albany,42.6001,-73.9662,12.58,41,13,1.79,US,1730055981
44,zouerate,22.7187,-12.4521,23.37,30,19,4.56,MR,1730056076
45,sabang,5.8933,95.3214,28.35,77,100,8.62,ID,1730056077
46,jamestown,42.097,-79.2353,13.34,40,75,4.12,US,1730056078
47,arvika,59.6553,12.5852,6.48,76,0,4.72,SE,1730056081
48,remire-montjoly,4.9167,-52.2667,32.02,58,0,6.69,GF,1730055784
49,stanley,54.868,-1.6985,7.01,93,75,1.03,GB,1730056083
50,vanino,49.0869,140.2543,-0.53,64,97,2.09,RU,1730056084
51,kochenevo,55.0218,82.202,3.66,92,100,4.75,RU,1730056086
52,daru,-9.0763,143.2092,24.89,96,100,1.94,PG,1730056087
53,ancud,-41.8697,-73.8203,12.6,64,0,4.37,CL,1730056088
54,constantia,44.1833,28.65,10.39,83,9,5.53,RO,1730056089
55,novyy urgal,51.0736,132.5642,-2.97,69,100,1.06,RU,1730056091
56,horta,38.5333,-28.6333,19.8,79,20,4.47,PT,1730056092
57,codrington,-38.2667,141.9667,9.22,78,0,4.0,AU,1730056093
58,antalaha,-14.9003,50.2788,23.14,94,100,1.59,MG,1730055800
59,tarfaya,27.9358,-12.9218,20.54,78,1,9.11,MA,1730056095
60,flying fish cove,-10.4217,105.6791,24.82,83,100,3.6,CX,1730056097
61,shiguai,40.7058,110.2856,5.74,63,0,1.71,CN,1730056098
62,hermanus,-34.4187,19.2345,14.33,86,98,7.12,ZA,1730056099
63,bowen,-20.0167,148.2333,23.41,80,59,6.23,AU,1730055891
64,miahuatlan de porfirio diaz,16.3333,-96.6,21.86,67,63,4.03,MX,1730056102
65,lihue,21.9789,-159.3672,26.77,74,40,7.2,US,1730056103
66,bilibino,68.0546,166.4372,-11.91,94,100,1.81,RU,1730056104
67,anadyr,64.75,177.4833,-1.72,86,75,14.75,RU,1730056027
68,belmonte,-15.8631,-38.8828,27.92,63,54,4.52,BR,1730056106
69,prince rupert,54.3161,-130.3201,7.66,82,100,1.97,CA,1730056108
70,terenozek,45.05,64.9833,7.72,52,75,7.76,KZ,1730056109
71,ushuaia,-54.8,-68.3,7.3,75,62,1.77,AR,1730056110
72,ust-nera,64.5667,143.2,-19.52,99,96,1.99,RU,1730056111
73,margaret river,-33.95,115.0667,10.56,92,9,4.03,AU,1730056112
74,bulgan,48.8125,103.5347,2.31,98,100,1.96,MN,1730055856
75,georgetown,5.4112,100.3354,25.97,88,40,2.24,MY,1730055924
76,port alfred,-33.5906,26.891,18.1,61,29,3.17,ZA,1730056117
77,choyr,46.3611,108.3611,3.44,63,100,2.92,MN,1730056118
78,anna regina,7.2644,-58.5077,29.61,67,100,4.89,GY,1730056119
79,carnarvon,-24.8667,113.6333,22.47,55,0,7.85,AU,1730056120
80,santa helena de goias,-17.8136,-50.5969,31.43,48,67,6.4,BR,1730056122
81,putina,-15.4667,-69.4333,13.61,56,33,4.86,PE,1730056123
82,blackmans bay,-43.0167,147.3167,7.07,80,8,1.34,AU,1730056124
83,tiksi,71.6872,128.8694,-14.64,93,100,2.32,RU,1730056125
84,whitehorse,60.7161,-135.0538,-4.57,85,100,5.66,CA,1730056126
85,lompoc,34.6391,-120.4579,20.63,77,40,6.17,US,1730055918
86,khorixas,-20.3667,14.9667,16.12,40,0,5.4,NA,1730056129
87,hasaki,35.7333,140.8333,21.74,91,100,7.7,JP,1730056130
88,longyearbyen,78.2186,15.6401,-0.09,100,100,0.0,SJ,1730055981
89,thompson,55.7435,-97.8558,-0.76,54,100,4.4,CA,1730056132
90,tanout,14.9709,8.8879,28.6,15,88,4.05,NE,1730056093
91,puerto ayora,-0.7393,-90.3518,22.53,90,67,2.24,EC,1730056135
92,yeniseysk,58.4497,92.1703,2.77,97,100,2.56,RU,1730056136
93,badger,64.8,-147.5333,-12.07,82,100,0.0,US,1730056108
94,kilju,40.9642,129.3278,8.04,73,64,0.79,KP,1730056138
95,ilomantsi,62.6716,30.9328,6.29,94,100,4.66,FI,1730056140
96,timbuktu,16.7735,-3.0074,34.2,16,18,2.47,ML,1730056142
97,selfoss,63.9331,-20.9971,-2.75,76,28,3.41,IS,1730056143
98,saldanha,-33.0117,17.9442,15.96,85,100,9.38,ZA,1730056146
99,luderitz,-26.6481,15.1594,13.91,67,2,5.12,NA,1730056148
100,lagos,6.5833,3.75,25.61,91,1,1.36,NG,1730055896
101,keflavik,64.0049,-22.5624,1.24,80,0,2.06,IS,1730056151
102,hamilton,39.1834,-84.5333,17.18,39,0,1.54,US,1730056136
103,lazaro cardenas,17.9583,-102.2,31.49,54,0,2.38,MX,1730056153
104,sokcho,38.2083,128.5911,15.34,94,100,8.75,KR,1730056154
105,holtville,32.8112,-115.3803,33.95,15,0,0.0,US,1730056155
106,sheringham,52.9408,1.2093,10.96,76,100,4.7,GB,1730056157
107,lakatoro,-16.0999,167.4164,25.83,86,100,3.84,VU,1730056158
108,lensk,60.7253,114.9278,-2.54,97,100,1.91,RU,1730056159
109,kodiak,57.79,-152.4072,3.73,65,0,4.12,US,1730056022
110,papatowai,-46.5619,169.4708,7.29,91,96,2.78,NZ,1730056162
111,puerto ayacucho,5.6639,-67.6236,33.9,57,100,2.46,VE,1730056163
112,hobyo,5.3505,48.5268,26.28,82,93,4.93,SO,1730056165
113,melekeok village,7.4957,134.6367,27.49,83,100,6.74,PW,1730056166
114,motueka,-41.1333,173.0167,10.05,86,88,0.83,NZ,1730056167
115,takanabe,32.1333,131.5,21.67,97,95,1.71,JP,1730056168
116,santa rita,-7.1139,-34.9781,29.37,65,20,6.17,BR,1730056170
117,visconde do rio branco,-21.0103,-42.8406,23.97,84,100,3.81,BR,1730055969
118,tanah merah,5.8,102.15,23.83,93,100,1.07,MY,1730056172
119,dauphin,51.1494,-100.0502,8.27,44,100,6.03,CA,1730056173
120,jining,35.405,116.5814,11.58,82,0,1.43,CN,1730056125
121,holboca,47.15,27.7,12.97,67,0,0.45,RO,1730056175
122,east london,-33.0153,27.9116,15.52,82,0,2.06,ZA,1730055918
123,severo-yeniseyskiy,60.3725,93.0408,-6.04,99,99,1.24,RU,1730056178
124,nova sintra,14.8667,-24.7167,26.84,77,100,10.55,CV,1730056179
125,hami,42.8,93.45,12.38,34,0,3.72,CN,1730056180
126,sandnessjoen,66.0217,12.6316,6.06,87,75,8.23,NO,1730056181
127,koungou,-12.7336,45.2042,25.84,83,0,0.51,YT,1730056182
128,geneina,13.45,22.45,26.12,19,100,4.69,SD,1730056184
129,camacupa,-12.0167,17.4833,16.97,94,100,2.14,AO,1730056185
130,thunder bay,48.4001,-89.3168,5.99,75,100,7.2,CA,1730055962
131,annonay,45.2397,4.6708,13.57,83,50,1.4,FR,1730056187
132,kashima-shi,35.9654,140.6447,18.83,98,100,1.96,JP,1730056063
133,cill airne,52.05,-9.5167,13.68,98,100,3.32,IE,1730056190
134,snovsk,51.8239,31.9428,7.36,72,0,2.79,UA,1730056191
135,st. john's,47.5649,-52.7093,9.43,71,6,4.47,CA,1730056192
136,quarai,-30.3875,-56.4514,23.06,45,2,4.09,BR,1730056193
137,udachny,66.4167,112.4,-18.33,99,96,1.89,RU,1730056195
138,tomatlan,19.9333,-105.25,33.55,38,0,1.69,MX,1730056196
139,winston,28.0317,-82.0148,28.33,53,40,4.12,US,1730056013
140,san patricio,28.017,-97.5169,30.97,41,0,4.47,US,1730056198
141,sinabang,2.4803,96.3801,26.17,83,100,1.26,ID,1730056199
142,guerrero negro,27.9769,-114.0611,24.75,49,0,4.66,MX,1730056201
143,amungan,15.3652,119.9582,25.71,85,0,1.78,PH,1730056203
144,kanoya,31.3833,130.85,22.4,93,100,0.74,JP,1730056204
